Satisfaction Score,Schedule Pacing,Timestamp,Track,Year,location,week
10,3.0,7/29/2016 13:14:07,Apps,2016,NY,6
6,3.0,7/29/2016 13:14:32,Games,2016,NY,6
8,3.0,7/29/2016 13:15:14,Apps,2016,NY,6
10,4.0,7/29/2016 13:17:10,Intro,2016,NY,6
8,3.0,7/29/2016 13:17:26,Intro,2016,NY,6
10,3.0,7/29/2016 13:17:34,Apps,2016,NY,6
4,1.0,7/29/2016 13:17:36,Apps,2016,NY,6
8,3.0,7/29/2016 13:17:47,Intro,2016,NY,6
8,3.0,7/29/2016 13:17:56,Apps,2016,NY,6
10,3.0,7/29/2016 13:19:10,Intro,2016,NY,6
8,3.0,7/29/2016 13:19:53,Games,2016,NY,6
10,5.0,7/29/2016 13:21:00,Apps,2016,NY,6
8,3.0,8/5/2016 12:40:44,Games,2016,NY,6
8,3.0,7/21/2016 21:57:59,Unknown,2016,HK,5
10,3.0,7/21/2016 21:59:37,Unknown,2016,HK,5
10,3.0,7/21/2016 22:01:53,Unknown,2016,HK,5
6,2.0,6/24/2016 14:02:56,Apps,2016,SF,1
6,3.0,6/23/2016 14:48:47,Apps,2016,SF,1
6,4.0,6/24/2016 9:50:50,Apps,2016,SF,1
6,5.0,6/24/2016 13:21:09,Apps,2016,SF,1
8,2.0,6/23/2016 13:21:46,Apps,2016,SF,1
8,2.0,6/24/2016 13:58:52,Apps,2016,SF,1
8,2.0,6/24/2016 14:12:41,Apps,2016,SF,1
8,3.0,6/23/2016 13:19:38,Apps,2016,SF,1
8,3.0,6/24/2016 9:49:30,Apps,2016,SF,1
8,3.0,6/24/2016 9:53:41,Apps,2016,SF,1
8,3.0,6/24/2016 9:54:45,Apps,2016,SF,1
8,3.0,6/24/2016 11:37:05,Apps,2016,SF,1
8,3.0,6/24/2016 11:40:59,Apps,2016,SF,1
8,3.0,6/24/2016 11:46:04,Apps,2016,SF,1
8,3.0,6/24/2016 13:07:03,Apps,2016,SF,1
8,3.0,6/24/2016 13:11:15,Apps,2016,SF,1
8,3.0,6/24/2016 13:20:57,Apps,2016,SF,1
8,3.0,6/24/2016 13:27:16,Apps,2016,SF,1
8,3.0,6/24/2016 13:33:49,Apps,2016,SF,1
8,3.0,6/24/2016 13:37:25,Apps,2016,SF,1
8,3.0,6/24/2016 13:38:57,Apps,2016,SF,1
8,4.0,6/23/2016 16:11:39,Apps,2016,SF,1
8,4.0,6/24/2016 9:51:03,Apps,2016,SF,1
8,4.0,6/24/2016 13:58:11,Apps,2016,SF,1
8,4.0,6/24/2016 14:07:33,Apps,2016,SF,1
8,4.0,6/24/2016 15:34:30,Apps,2016,SF,1
8,5.0,6/24/2016 13:16:51,Apps,2016,SF,1
8,5.0,6/24/2016 14:05:35,Apps,2016,SF,1
8,2.0,6/25/2016 20:09:34,Apps,2016,SF,1
10,2.0,6/24/2016 13:32:30,Apps,2016,SF,1
10,2.0,6/24/2016 14:05:44,Apps,2016,SF,1
10,3.0,6/23/2016 13:17:43,Apps,2016,SF,1
10,3.0,6/23/2016 14:44:06,Apps,2016,SF,1
10,3.0,6/24/2016 9:49:15,Apps,2016,SF,1
10,3.0,6/24/2016 9:49:18,Apps,2016,SF,1
10,3.0,6/24/2016 9:50:06,Apps,2016,SF,1
10,3.0,6/24/2016 9:50:19,Apps,2016,SF,1
10,3.0,6/24/2016 11:34:57,Apps,2016,SF,1
10,3.0,6/24/2016 13:05:10,Apps,2016,SF,1
10,3.0,6/24/2016 13:07:59,Apps,2016,SF,1
10,3.0,6/24/2016 13:09:46,Apps,2016,SF,1
10,3.0,6/24/2016 13:18:32,Apps,2016,SF,1
10,3.0,6/24/2016 13:27:04,Apps,2016,SF,1
